Queries,Overlap,Percent_Overlap,Spearman_Coefficient
Query 1,3,30,-12.5
Query 2,0,0,0
Query 3,0,0,0
Query 4,1,10,0
Query 5,2,20,-9
Query 6,2,20,-49
Query 7,4,40,-3.9
Query 8,2,20,-25
Query 9,3,30,-24.25
Query 10,0,0,0
Query 11,2,20,-12
Query 12,1,10,0
Query 13,4,40,-1.6
Query 14,3,30,-9.25
Query 15,4,40,-4.6
Query 16,3,30,-19.25
Query 17,3,30,-1.75
Query 18,1,10,0
Query 19,2,20,-72
Query 20,0,0,0
Query 21,2,20,-57
Query 22,0,0,0
Query 23,3,30,-4.25
Query 24,0,0,0
Query 25,2,20,-4
Query 26,4,40,-5.3
Query 27,3,30,-4
Query 28,1,10,0
Query 29,3,30,-8.5
Query 30,3,30,-6.25
Query 31,3,30,-25
Query 32,4,40,0.6
Query 33,0,0,0
Query 34,1,10,0
Query 35,2,20,-49
Query 36,4,40,-5.1
Query 37,1,10,0
Query 38,3,30,-0.5
Query 39,1,10,0
Query 40,4,40,-3.6
Query 41,4,40,-4.3
Query 42,1,10,0
Query 43,1,10,0
Query 44,1,10,0
Query 45,3,30,-19.75
Query 46,4,40,0.2
Query 47,2,20,-57
Query 48,1,10,0
Query 49,3,30,-21.5
Query 50,1,10,0
Query 51,2,20,-44
Query 52,2,20,-84
Query 53,2,20,-80
Query 54,3,30,-11.25
Query 55,2,20,-28
Query 56,2,20,-67
Query 57,2,20,-15
Query 58,2,20,-71
Query 59,2,20,-79
Query 60,1,10,1
Query 61,0,0,0
Query 62,2,20,-8
Query 63,3,30,-1.25
Query 64,1,10,1
Query 65,1,10,0
Query 66,1,10,0
Query 67,0,0,0
Query 68,5,50,-0.5
Query 69,0,0,0
Query 70,0,0,0
Query 71,2,20,-39
Query 72,2,20,-39
Query 73,1,10,1
Query 74,3,30,-4.5
Query 75,4,40,-7.2
Query 76,2,20,-15
Query 77,1,10,0
Query 78,1,10,0
Query 79,3,30,-11.5
Query 80,5,50,-3.3
Query 81,0,0,0
Query 82,3,30,-17.25
Query 83,1,10,0
Query 84,1,10,0
Query 85,2,20,-105
Query 86,5,50,-10.6
Query 87,0,0,0
Query 88,1,10,0
Query 89,5,50,-0.9
Query 90,1,10,0
Query 91,2,20,-72
Query 92,4,40,-2.4
Query 93,5,50,-1.8
Query 94,0,0,0
Query 95,4,40,-8.8
Query 96,7,70,-0.892857143
Query 97,1,10,0
Query 98,1,10,0
Query 99,4,40,-1.2
Query 100,3,30,-2.25
Averages,2.12,21.2,-13.46942857
